"Age Verification","Age Verification",module,FortyFour_AgeRestriction
"Sorry!","Λυπούμαστε!",module,FortyFour_AgeRestriction
"You must be over 18 to visit this website.","Η είσοδος επιτρέπεται στα άτομα άνω των 18.",module,FortyFour_AgeRestriction
"Visit coca-cola.gr","Επισκέψου το coca-cola.gr",module,FortyFour_AgeRestriction
"Visit %1","Επισκέψου το %1",module,FortyFour_AgeRestriction
